Name,Lat,Long,Notes (unedited),Badges,Sources,Text
Massachusetts Hall,42.3744389,-71.1182833,"Massachusetts Hall, built in 1718, is Harvard's oldest building. It is the second-oldest academic building in the U.S. During the Revolutionary War, it housed soldiers from the Continental Army. The building cost £3,500 to construct. However, the soldiers caused hundreds of pounds in damage. Harvard wrote to the Commonwealth of Massachusetts about missing items. They listed twenty-seven brass doorknobs and sixty door locks. Many other items were also stolen or damaged. Soldiers took wood from the building. They removed parts of the roof and doors to make military supplies. In the end, the Commonwealth paid Harvard £417 to cover the damage, which is about $50,000 in today's money.","America 250, Revolutinary War, National Histoical Landmark","https://www.thecrimson.com/article/2009/2/18/what-you-didnt-know-about-the/

https://www.nps.gov/places/massachusetts-hall.htm

https://grokipedia.com/page/Harvard_Yard

https://news.harvard.edu/gazette/story/2011/10/harvards-year-of-exile/",
Holbrook Smith,42.3744389,-71.1182833,"Holbrook Smith, a member of Harvard’s Class of 1914, is known for being one of Harvard’s more playful ghosts. According to campus folklore, students would blame Holbrook Smith whenever they were caught with hidden alcohol or other forbidden items in their rooms. They claimed that the ghost had brought the items into their rooms without their knowledge. Instead of being a scary legend, the story turned into a humorous tradition among students, earning Holbrook Smith a spot in Harvard’s collection of ghostly tales.",Ghost Stories,https://harvardindependent.com/harvard-ghost-stories/,
John Harvard Statue,42.37443,-71.11718,"The John Harvard Statue, unveiled in 1884, is one of Harvard’s most famous landmarks and is also one of the most photographed. The bronze statue is located in Harvard Yard and was created by American sculptor Daniel Chester French, who later became well-known for designing the Lincoln Memorial. The statue shows John Harvard sitting with a book, representing his connection to education and the founding of Harvard College.

It's often called the “Statue of Three Lies” because three details about it aren’t entirely accurate. First, the statue doesn’t actually depict John Harvard himself. Since there are no known portraits of him, French used Harvard student Sherman Hoar as the model for the statue's face. Second, John Harvard didn’t technically found Harvard University; he was an early supporter. After he died, he donated half of his estate and his personal library to the college, which helped it survive and grow. The third lie is the date on the pedestal, which says 1638. Harvard was actually founded in 1636 by a vote of the Massachusetts General Court.

Over the years, the statue has become a popular tradition for visitors and students. Many people rub the toe of John Harvard’s left shoe for good luck before exams or important events. This has made the bronze shoe shiny and golden, unlike the rest of the statue. Today, the John Harvard Statue stands as a symbol of Harvard's rich history and traditions, holding many stories about the University.",Statue,"https://summer.harvard.edu/blog/the-3-lies-of-harvard/
https://news.harvard.edu/gazette/story/2019/09/iconic-john-harvard-statue-is-the-star-of-the-yard/ ",
Memorial Hall,42.375888,-71.114917,"Completed in 1878, Memorial Hall honors the 136 Harvard students and alumni who died for the Union in the Civil War. Harvard graduates proposed the building to remember their classmates and their sacrifice. Architect William Robert Ware and his partner Henry Van Brunt designed it in the High Victorian Gothic style. It became one of Harvard’s most ambitious construction projects.

Memorial Hall features important spaces like Sanders Theatre, a large auditorium for lectures, concerts, and ceremonies, and Annenberg Hall, which serves as the dining hall for Harvard freshmen today. Originally, it was a space for remembrance and community gatherings. Its grand design, detailed stonework, and tall tower make it a key landmark near Harvard Square.","Memorial, Civil War",https://en.wikipedia.org/wiki/Memorial_Hall_(Harvard_University) https://library.bc.edu/lafargeglass/exhibits/show/descriptions/all-saints/memorial-hall,
Stained Glass Windows,42.375888,-71.114917,"Memorial Hall boasts one of the finest collections of 19th-century American stained glass in the U.S. Craftsmen made most of the windows between 1879 and 1902. This collection highlights the building's significance as a Civil War memorial. The artwork highlights sacrifice, education, history, and important figures tied to Harvard and American culture.

The stained glass in Sanders Theatre features works by notable American artists, like John La Farge, Louis Comfort Tiffany, and Sarah Wyman Whitman. These artists shaped the American stained-glass movement with rich colors, layered glass, and detailed stories. ","Art, Civil War",https://websites.harvard.edu/memhall/collections/stained-glass/,
Widener Library,42.373973,-71.11633,"Opened in 1915, Widener Library is Harvard's flagship library and one of the largest university libraries in the world. It was built as a memorial to Harry Elkins Widener, a Harvard alumnus and book collector who died aboard the Titanic in 1912.","Ghost Stories, Books",https://news.harvard.edu/gazette/story/2019/12/tagging-along-on-a-student-led-historical-tour-of-harvard/ https://library.harvard.edu/libraries/widener/about,
Blaschka Glass Flowers,42.378357,-71.11648,"The world-famous Glass Flowers are an extraordinary collection of over 4,300 scientifically accurate glass models representing hundreds of plant species. Created by father-and-son artisans Leopold and Rudolf Blaschka between 1886 and 1936, they remain one of Harvard's most celebrated treasures.",Art,https://www.huh.harvard.edu/glass-flowers,
Forbes Pigment Collection,42.3740898,-71.1143582,"The Forbes Pigment Collection is a unique ""library of color"" containing more than 2,700 pigments gathered from around the world. Originally assembled by Fogg Museum director Edward Waldo Forbes, the collection helps scientists and conservators authenticate, preserve, and better understand works of art.",Art,https://news.harvard.edu/gazette/story/2015/09/a-wall-of-color-a-window-to-the-past/,
Wadsworth House,42.3734,-71.11812,"George Washington’s first home during the revolutionary war. Built in 1726, Wadsworth House is the second-oldest surviving building at Harvard. It served as the residence of Harvard presidents until 1849 and was General George Washington's first headquarters after taking command of the Continental Army in 1775.","Revountianry War, America 250",https://home.nps.gov/places/wadsworth-house.htm,
Longfellow House,42.376989,-71.12637,"GW 2nd home. Built in 1759, this house served as George Washington's headquarters during the Siege of Boston (1775–1776). It later became the home of famed poet Henry Wadsworth Longfellow, who lived and wrote here for nearly 50 years. Today it is a National Historic Site.","Revountianry War, America 250",https://nps.gov/long/index.htm,
Warren House,42.37469,-71.11776,"stop on the underground railroad. Warren House was one of Harvard Yard's colonial-era residences. Named for members of the prominent Warren family, it stood near today's Matthews Hall and reflects the residential character of early Harvard before many modern academic buildings were constructed.",Civil War,https://www.thecrimson.com/article/2015/10/29/inside-warren-house/ https://www.harvard.edu/about/history/timeline/,
Indian College,42.37456,-71.11754,"Completed in 1656, the Indian College was established to educate Native American students. It housed the printing press that produced the 1663 Eliot Indian Bible, the first Bible printed in British North America and the first printed in a Native American language.",Native American History,"https://legacy.sites.fas.harvard.edu/~hsb41/Inventing_Harvard/indian_college.html
https://en.wikipedia.org/wiki/Harvard_Indian_College
https://www.thecrimson.com/article/2011/3/24/harvard-indian-american-native/",
Eliot Bible,42.37389,-71.11858,"Also known as the Eliot Indian Bible, this was the first Bible printed in British North America. Published in 1663 and translated into the Massachusett language by missionary John Eliot, it was printed at Harvard's Indian College.","Native American History, books",https://en.wikipedia.org/wiki/Eliot_Indian_Bible,
the Harvard Bixi,42.37355,-71.11701,"The Harvard Bixi is a bronze sculpture by Canadian artist David Altmejd, installed in Harvard Yard in 2012. Inspired by mythological figures and transformation, it has become one of the Yard's most recognizable pieces of contemporary public art.",,https://fairbank.fas.harvard.edu/about/300th-anniversary-stele/ https://marshal.harvard.edu/wadsworth-house/,
Phillips Brooks,42.37492,-71.11801,"The house’s namesake, Phillips Brooks, was an 1885 graduate of the college. His great-grandfather was Samuel Phillips, Jr., the founder of Phillips Academy. Brooks, a member of the A.D. Club, became a minister, and while pastor at the Trinity Church in Boston’s Copley Square, penned the Christmas carol, “O Little Town of Bethlehem.”",Interesting People,https://www.thecrimson.com/article/2009/2/18/what-you-didnt-know-about-the/,
University Hall,42.37445,-71.11708,"This was the site of the Rebellion of 1818, or the massive food fight that ended with the expulsion of the entire sophomore class. The melee was so loud it allegedly made an audio imprint that could be heard randomly up until the 1960s.",Ghost Stories,"https://www.thecrimson.com/article/2019/2/7/1818-food-fight/

https://www.thecrimson.com/article/2023/10/29/ghosts-at-harvard/",
The Onion,42.373613,-71.115903,"The Onion (1965), by Alexander Calder Gift of Susan Morse Hilles",Statue,https://calder.org/works/monumental-sculpture/the-onion-1965/,
Emerson Statue,42.373829,-71.115375,"Gift of the Class of 1831 to Harvard College, through Francis Boott, 1906. The donor, Francis Boott, was Frank Duveneck's father-in-law. Duveneck's wife was Elizabeth Otis Lyman Boott (1846-1888).",Statue,https://harvardartmuseums.org/collections/object/304682,
Appleton Chapel Plaque,42.374835,-71.115619,"Appleton Chapel was home to religious life at Harvard until 1932. Its namesake is preserved inside Memorial Church, as the Appleton Chapel portion of the main building houses the daily service of Morning Prayer.",Plaque,https://en.wikipedia.org/wiki/Memorial_Church_of_Harvard_University,
John Taylor Bell,42.375011,-71.116349,"A 7,000 pounds (3,200 kg) bell cast in 1926 by the John Taylor & Co foundry in London was used to call students to classes and to morning prayers each morning.[4] The bell, inscribed ""In memory of the voices that are hushed,"" honors students who died in World War I.[4] The bell cracked in 2011, and university officials determined that it could not be repaired.[4] However, in 2017 a restoration was successfully completed, and the bell was placed on display on the west portico of the Memorial Church.[4]",World War I,https://en.wikipedia.org/wiki/Memorial_Church_of_Harvard_University,
"A stone from the St. Saviour's Church, Southwark",42.374995,-71.116335,"Harvard College Yard, Cambridge, Mass. A stone from St. Saviour's Church, Southwark, in which John Harvard was baptized Nov. 29, 1607, was given to Harvard College by Harvard Church in Charlestown on its Dissolution in 1905.",Interesting People,https://www.digitalcommonwealth.org/search/commonwealth:fj237t167,
Harvard Tercentenary Stele,42.373517,-71.116984,The inscription commemorates the founding of Harvard College in 1636 and celebrates the importance of culture and learning both in the United States and in China,Statue,https://fairbank.fas.harvard.edu/about/300th-anniversary-stele/,
Richard T. Greener Plaque,42.373925,-71.118435,"African American lawyer, diplomat, and educator. First African American to graduate from Harvard",Interesting People,https://legacyofslavery.harvard.edu/legacy-of-leadership/richard-t-greener/,
Hollis Hall Memorial Plaque,42.374855,-71.117785,"During the American Revolution, Hollis Hall was taken over by colonial soldiers and suffered some damaged and during a 1959 renovation, five musket balls were discovered between floor boards. Several distinguished alumni residents include Ralph Waldo Emerson, Henry David Thoreau, Edward Everett, Harvard President Charles W. Eliot and Charles Townsend Copeland.",Revolutionary War,https://harvardplanning.emuseum.com/sites/926/hollis-hall,
Holworthy Hall Plaque,42.375488,-71.117556,"Holworthy was named in 1812 in honor of a wealthy English merchant, Sir Matthew Holworthy, who died in 1678 having bequeathed £1,000 to Harvard — then the largest donation in the college's history — ""for the promotion of learning and the promulgation of the Gospel""",Interesting People,https://en.wikipedia.org/wiki/Holworthy_Hall,
Harvard station dedication,42.374339,-71.118997,"1985 dedication plaque at Harvard station. Although the Church Street entrance and the platforms opened in 1983, the main lobby did not open until May 3, 1985.",Plaque,https://commons.wikimedia.org/wiki/File:Harvard_station_dedication_plaque.JPG,
Satyr Mascaron Keystone,42.372957,-71.117077,A portrayal of a laughing satyr from mythology. Carvings like this serve as ornamental Keystones directly over window frames. Harvards historic brick and limestone facades are famous for hidden relief statues.,Statue,https://gargoylesandgrotesques.wordpress.com/tag/harvard-university/,
Third Wind,42.376126,-71.117722,"Created by Kim Bernard, artist in residence, Harvard Physics",Statue,https://www.theartleague.org/blog/2016/03/10/art-meets-science-in-a-new-workshop/,
Tanner Fountain,42.375996,-71.116967,"(1984), a landscape sculpture featuring 159 boulders arranged in irregular, concentric rings. It operates as a misting fountain in warm weather and emits steam in the winter",Interesting Place,https://www.thecrimson.com/article/2019/11/5/gao-rocks-science-ctr/,
Cabot Science Complex Copper Map,42.376832,-71.115394,The plaque is made of metal and the base is made of stone. The plaque measures 11.75 in. x 11.75 in.,Plaque,https://harvardplanning.emuseum.com/objects/102970/cabot-science-complex-map-plaque-1,
"""Fluffy"" Fowler Square",42.3754,-71.114487,"Edward J. ""Fluffy"" Fowler was a dedicated Firefighter and Inspector for the Cambridge Fire Department's Fire Investigation Unit. He is locally remembered in the Cambridge community for passing away in the line of duty on October 12, 2001",Interesting People,https://www.facebook.com/CambridgeMAFire/posts/cambridgemafireloddhistory-on-12-oct-2001-firefighterinspector-edward-j-fluffy-f/1113137254315693/,
Anne Sullivan Fountain,42.373111,-71.121528,(In Braille) In memory of Anne Sullivan teacher extraordinary -- who beginning with the word water opened to the girl Helen Keller the world of sight and sound through touch. Beloved companion through Radcliffe College 1900-1904.,Interesting People,https://harvardplanning.emuseum.com/objects/91852/anne-sullivan-fountain-and-braille-plaque,
Lowell House,42.3708,-71.1182,"Lowell House features two famous ghost stories tied to key figures in Harvard's history. The first is about poet Amy Lowell, sister of former President Abbott Lawrence Lowell. Amy couldn’t attend Harvard because women weren’t allowed then. Still, she was closely linked to the University. Her portrait hangs in Lowell House, where some staff have reported seeing her ghost or smelling cigar smoke nearby. This detail fits well, as Amy was known for smoking small, hand-rolled cigars.

The second story is about Elliott Perkins, who was the Lowell House Master from 1942 to 1963, along with his wife, Mary Baker-Wilbraham Perkins. A historian, he became a beloved figure among residents. After his death in 1985, tales spread that his ghost appears around the Master's Residence, especially during Lowell’s famous Thursday Teas. Unlike many ghost stories, Perkins is seen as a friendly spirit watching over the House.

Mary Perkins adds to the mystery. She believed in ghosts and the supernatural. Known for her welcoming nature, she encouraged discussions about the unexplained. Today, the tales of Amy Lowell and Elliott Perkins are part of Lowell House tradition, shared among generations of students and staff as examples of Harvard’s rich folklore.",Ghost Stories,https://news.harvard.edu/gazette/story/2014/10/harvards-haunted-houses/,
